                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.2351,                0.81091,                0.88654,                0.52294,                0.38277,                0.40007,                0.23898,                 1.2145,                0.85333,                0.88328,               0.007624,               0.007624,               0.007624
                     75,                 1.2252,                0.80305,                0.88528,                0.50873,                0.38823,                0.40074,                0.23951,                 1.2104,                0.85065,                0.88211,               0.007591,               0.007591,               0.007591
                     76,                 1.2213,                0.80072,                 0.8858,                0.51572,                0.38192,                0.39849,                0.23856,                  1.209,                0.85615,                0.88162,               0.007558,               0.007558,               0.007558
                     77,                 1.2024,                 0.7745,                0.88169,                0.50382,                0.38709,                0.39768,                0.23771,                 1.2128,                0.85703,                0.88254,               0.007525,               0.007525,               0.007525
                     78,                 1.1996,                0.77533,                 0.8819,                0.52138,                0.37945,                0.39757,                0.23726,                 1.2109,                0.85524,                0.88252,               0.007492,               0.007492,               0.007492
                     79,                 1.2137,                0.78575,                0.88336,                0.49829,                0.38699,                0.39463,                0.23435,                 1.2168,                 0.8577,                0.88354,               0.007459,               0.007459,               0.007459
                     80,                 1.2022,                0.77624,                0.88243,                 0.5044,                0.38517,                0.39909,                0.23743,                 1.2117,                0.84886,                0.88284,               0.007426,               0.007426,               0.007426
                     81,                  1.198,                0.77646,                 0.8814,                0.50809,                0.38789,                0.39886,                0.23819,                 1.2115,                0.84996,                0.88348,               0.007393,               0.007393,               0.007393
                     82,                 1.2022,                0.77269,                0.88016,                0.50494,                0.38524,                0.39797,                0.23716,                 1.2087,                 0.8513,                0.88271,                0.00736,                0.00736,                0.00736
                     83,                 1.1983,                0.77201,                0.88095,                0.50986,                0.38721,                0.39825,                0.23727,                  1.209,                0.84982,                0.88242,               0.007327,               0.007327,               0.007327
                     84,                 1.1975,                0.77156,                0.87949,                 0.5082,                 0.3921,                0.40214,                 0.2408,                 1.2101,                0.84959,                0.88347,               0.007294,               0.007294,               0.007294
                     85,                 1.1969,                0.76633,                0.88068,                0.50879,                0.38588,                0.40121,                0.23954,                 1.2086,                0.85055,                0.88246,               0.007261,               0.007261,               0.007261
                     86,                 1.1979,                0.76389,                0.87987,                0.50463,                0.39135,                 0.3998,                0.23842,                 1.2084,                0.85265,                0.88245,               0.007228,               0.007228,               0.007228
                     87,                 1.1954,                0.76713,                0.87942,                0.51568,                0.39003,                0.40063,                0.23814,                  1.209,                0.84974,                0.88303,               0.007195,               0.007195,               0.007195
                     88,                 1.1882,                0.75881,                0.87789,                0.52008,                0.38589,                0.40014,                0.23867,                 1.2062,                0.85132,                0.88269,               0.007162,               0.007162,               0.007162
                     89,                 1.1886,                0.75947,                0.87782,                0.52616,                0.38393,                  0.401,                0.23995,                 1.2057,                0.85237,                0.88154,               0.007129,               0.007129,               0.007129
                     90,                 1.1909,                0.76057,                0.87859,                0.52318,                0.38991,                0.40192,                0.24047,                 1.2068,                0.84937,                0.88159,               0.007096,               0.007096,               0.007096
                     91,                 1.1706,                 0.7349,                0.87463,                0.52068,                 0.3855,                0.40086,                0.24003,                 1.2055,                0.85125,                  0.882,               0.007063,               0.007063,               0.007063
                     92,                  1.169,                0.73677,                0.87509,                0.52649,                0.38935,                0.40309,                0.24097,                 1.2052,                0.84939,                0.88227,                0.00703,                0.00703,                0.00703
                     93,                  1.181,                0.74465,                0.87594,                0.52135,                0.38715,                0.40022,                0.23781,                 1.2106,                0.85542,                0.88296,               0.006997,               0.006997,               0.006997
                     94,                   1.17,                0.73717,                0.87562,                 0.5244,                0.38379,                0.39964,                0.23885,                 1.2119,                0.85086,                0.88276,               0.006964,               0.006964,               0.006964
                     95,                 1.1668,                0.73693,                0.87438,                0.51383,                0.38823,                0.39966,                0.23797,                 1.2123,                0.85126,                0.88348,               0.006931,               0.006931,               0.006931
                     96,                 1.1726,                0.73578,                0.87354,                0.51179,                0.38784,                 0.3973,                0.23677,                 1.2105,                0.85566,                0.88352,               0.006898,               0.006898,               0.006898
                     97,                 1.1677,                0.73451,                0.87414,                0.51619,                0.38883,                0.40039,                0.23878,                 1.2072,                0.85329,                0.88269,               0.006865,               0.006865,               0.006865
                     98,                  1.138,                0.69825,                 0.8678,                0.49931,                0.39719,                0.39898,                0.23784,                 1.2097,                0.85869,                0.88283,               0.006832,               0.006832,               0.006832
                     99,                 1.1381,                 0.7017,                0.86844,                0.52255,                0.38881,                0.39823,                 0.2362,                 1.2136,                0.86005,                  0.884,               0.006799,               0.006799,               0.006799
                    100,                 1.1522,                0.71043,                0.86975,                0.50579,                0.39421,                0.39744,                0.23528,                 1.2178,                0.86229,                0.88497,               0.006766,               0.006766,               0.006766
                    101,                 1.1427,                0.70628,                0.86968,                0.51359,                0.39073,                0.39793,                0.23653,                  1.216,                 0.8584,                0.88452,               0.006733,               0.006733,               0.006733
                    102,                 1.1399,                 0.7077,                0.86888,                 0.5229,                0.38568,                0.39592,                0.23444,                 1.2192,                0.86018,                0.88587,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1522,                0.71227,                 0.8693,                0.52287,                0.38494,                0.39588,                0.23392,                 1.2185,                0.86185,                 0.8858,               0.006667,               0.006667,               0.006667
                    104,                  1.157,                0.72289,                0.87193,                0.51672,                0.38846,                0.39607,                0.23469,                 1.2172,                0.86094,                0.88536,               0.006634,               0.006634,               0.006634
